Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
F1,2007/8/10,Auxerre,Lorient,2,2,1011
F1,2007/8/10,Lens,Nancy,1,2,1011
F1,2007/8/10,Lyon,Monaco,0,0,1011
F1,2007/8/10,Marseille,Caen,1,2,1011
F1,2007/8/10,Nice,Valenciennes,0,0,1011
F1,2007/8/10,Paris SG,St Etienne,3,1,1011
F1,2007/8/10,Rennes,Lille,1,1,1011
F1,2007/8/10,Sochaux,Arles,2,1,1011
F1,2007/8/10,Toulouse,Brest,2,0,1011
F1,2008/8/10,Montpellier,Bordeaux,1,0,1011
F1,2014/8/10,Arles,Lens,0,1,1011
F1,2015/8/10,Bordeaux,Toulouse,1,2,1011
F1,2014/8/10,Brest,Auxerre,1,1,1011
F1,2015/8/10,Caen,Lyon,3,2,1011
F1,2015/8/10,Lille,Paris SG,0,0,1011
F1,2014/8/10,Lorient,Nice,1,2,1011
F1,2014/8/10,Nancy,Rennes,0,3,1011
F1,2014/8/10,St Etienne,Sochaux,3,2,1011
F1,2014/8/10,Valenciennes,Marseille,3,2,1011
F1,2017/8/10,Monaco,Montpellier,0,0,1011
F1,2021/8/10,Auxerre,Valenciennes,1,1,1011
F1,2021/8/10,Lens,Monaco,2,2,1011
F1,2021/8/10,Lyon,Brest,1,0,1011
F1,2021/8/10,Marseille,Lorient,2,0,1011
F1,2021/8/10,Nice,Nancy,1,1,1011
F1,2021/8/10,Rennes,St Etienne,0,0,1011
F1,2021/8/10,Toulouse,Arles,2,1,1011
F1,2022/8/10,Montpellier,Caen,0,0,1011
F1,2022/8/10,Paris SG,Bordeaux,1,2,1011
F1,2022/8/10,Sochaux,Lille,0,0,1011
F1,2028/8/10,Arles,Rennes,0,1,1011
F1,2028/8/10,Caen,Brest,0,2,1011
F1,2028/8/10,Lorient,Lyon,2,0,1011
F1,2028/8/10,Nancy,Toulouse,0,2,1011
F1,2028/8/10,St Etienne,Lens,3,1,1011
