Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
D1,2020/8/10,Bayern Munich,Wolfsburg,2,1,1011
D1,2021/8/10,FC Koln,Kaiserslautern,1,3,1011
D1,2021/8/10,Freiburg,St Pauli,1,3,1011
D1,2021/8/10,Hamburg,Schalke 04,2,1,1011
D1,2021/8/10,Hannover,Ein Frankfurt,2,1,1011
D1,2021/8/10,Hoffenheim,Werder Bremen,4,1,1011
D1,2021/8/10,M'gladbach,Nurnberg,1,1,1011
D1,2022/8/10,Dortmund,Leverkusen,0,2,1011
D1,2022/8/10,Mainz,Stuttgart,2,0,1011
D1,2027/8/10,Kaiserslautern,Bayern Munich,2,0,1011
D1,2028/8/10,Ein Frankfurt,Hamburg,1,3,1011
D1,2028/8/10,Nurnberg,Freiburg,1,2,1011
D1,2028/8/10,Schalke 04,Hannover,1,2,1011
D1,2028/8/10,St Pauli,Hoffenheim,0,1,1011
D1,2028/8/10,Werder Bremen,FC Koln,4,2,1011
D1,2028/8/10,Wolfsburg,Mainz,3,4,1011
D1,2029/8/10,Leverkusen,M'gladbach,3,6,1011
D1,2029/8/10,Stuttgart,Dortmund,1,3,1011
D1,2010/9/10,Hoffenheim,Schalke 04,2,0,1011
D1,2011/9/10,Bayern Munich,Werder Bremen,0,0,1011
D1,2011/9/10,Dortmund,Wolfsburg,2,0,1011
D1,2011/9/10,Freiburg,Stuttgart,2,1,1011
D1,2011/9/10,Hamburg,Nurnberg,1,1,1011
D1,2011/9/10,Hannover,Leverkusen,2,2,1011
D1,2011/9/10,M'gladbach,Ein Frankfurt,0,4,1011
D1,2012/9/10,FC Koln,St Pauli,1,0,1011
D1,2012/9/10,Mainz,Kaiserslautern,2,1,1011
D1,2017/9/10,Ein Frankfurt,Freiburg,0,1,1011
D1,2018/9/10,Bayern Munich,FC Koln,0,0,1011
D1,2018/9/10,Kaiserslautern,Hoffenheim,2,2,1011
D1,2018/9/10,Stuttgart,M'gladbach,7,0,1011
D1,2018/9/10,Werder Bremen,Mainz,0,2,1011
D1,2018/9/10,Wolfsburg,Hannover,2,0,1011
D1,2019/9/10,Leverkusen,Nurnberg,0,0,1011
D1,2019/9/10,Schalke 04,Dortmund,1,3,1011
D1,2019/9/10,St Pauli,Hamburg,1,1,1011
D1,2021/9/10,Hannover,Werder Bremen,4,1,1011
D1,2021/9/10,Hoffenheim,Bayern Munich,1,2,1011
D1,2021/9/10,Mainz,FC Koln,2,0,1011
D1,2022/9/10,Dortmund,Kaiserslautern,5,0,1011
D1,2022/9/10,Freiburg,Schalke 04,1,2,1011
D1,2022/9/10,Hamburg,Wolfsburg,1,3,1011
D1,2022/9/10,Leverkusen,Ein Frankfurt,2,1,1011
D1,2022/9/10,M'gladbach,St Pauli,1,2,1011
D1,2022/9/10,Nurnberg,Stuttgart,2,1,1011
D1,2024/9/10,FC Koln,Hoffenheim,1,1,1011
D1,2025/9/10,Bayern Munich,Mainz,1,2,1011
D1,2025/9/10,Ein Frankfurt,Nurnberg,2,0,1011
D1,2025/9/10,Schalke 04,M'gladbach,2,2,1011
D1,2025/9/10,St Pauli,Dortmund,1,3,1011
D1,2025/9/10,Stuttgart,Leverkusen,1,4,1011
D1,2025/9/10,Werder Bremen,Hamburg,3,2,1011
D1,2026/9/10,Kaiserslautern,Hannover,0,1,1011
D1,2026/9/10,Wolfsburg,Freiburg,2,1,1011
D1,2001/10/10,Hannover,St Pauli,0,1,1011
D1,2002/10/10,Freiburg,FC Koln,3,2,1011
D1,2002/10/10,Hamburg,Kaiserslautern,2,1,1011
D1,2002/10/10,Mainz,Hoffenheim,4,2,1011
D1,2002/10/10,M'gladbach,Wolfsburg,1,1,1011
D1,2002/10/10,Nurnberg,Schalke 04,2,1,1011
D1,2003/10/10,Dortmund,Bayern Munich,2,0,1011
D1,2003/10/10,Leverkusen,Werder Bremen,2,2,1011
D1,2003/10/10,Stuttgart,Ein Frankfurt,1,2,1011
D1,2015/10/10,FC Koln,Dortmund,1,2,1011
D1,2016/10/10,Bayern Munich,Hannover,3,0,1011
D1,2016/10/10,Mainz,Hamburg,0,1,1011
D1,2016/10/10,Schalke 04,Stuttgart,2,2,1011
D1,2016/10/10,St Pauli,Nurnberg,3,2,1011
D1,2016/10/10,Werder Bremen,Freiburg,2,1,1011
D1,2016/10/10,Wolfsburg,Leverkusen,2,3,1011
D1,2017/10/10,Hoffenheim,M'gladbach,3,2,1011
D1,2017/10/10,Kaiserslautern,Ein Frankfurt,0,3,1011
D1,2022/10/10,Hamburg,Bayern Munich,0,0,1011
D1,2023/10/10,Ein Frankfurt,Schalke 04,0,0,1011
D1,2023/10/10,Freiburg,Kaiserslautern,2,1,1011
D1,2023/10/10,Hannover,FC Koln,2,1,1011
D1,2023/10/10,M'gladbach,Werder Bremen,1,4,1011
D1,2023/10/10,Nurnberg,Wolfsburg,2,1,1011
D1,2024/10/10,Dortmund,Hoffenheim,1,1,1011
D1,2024/10/10,Leverkusen,Mainz,0,1,1011
D1,2024/10/10,Stuttgart,St Pauli,2,0,1011
D1,2029/10/10,Bayern Munich,Freiburg,4,2,1011
D1,1930/10/10,FC Koln,Hamburg,3,2,1011
D1,1930/10/10,Kaiserslautern,M'gladbach,3,0,1011
D1,1930/10/10,Schalke 04,Leverkusen,0,1,1011
D1,1930/10/10,St Pauli,Ein Frankfurt,1,3,1011
D1,1930/10/10,Werder Bremen,Nurnberg,2,3,1011
D1,1930/10/10,Wolfsburg,Stuttgart,2,0,1011
D1,1931/10/10,Hoffenheim,Hannover,4,0,1011
D1,1931/10/10,Mainz,Dortmund,0,2,1011
D1,2005/11/10,Schalke 04,St Pauli,3,0,1011
D1,2006/11/10,Ein Frankfurt,Wolfsburg,3,1,1011
D1,2006/11/10,Freiburg,Mainz,1,0,1011
D1,2006/11/10,Hamburg,Hoffenheim,2,1,1011
D1,2006/11/10,M'gladbach,Bayern Munich,3,3,1011
D1,2006/11/10,Nurnberg,FC Koln,3,1,1011
D1,2007/11/10,Hannover,Dortmund,0,4,1011
D1,2007/11/10,Leverkusen,Kaiserslautern,3,1,1011
D1,2007/11/10,Stuttgart,Werder Bremen,6,0,1011
D1,2012/11/10,Dortmund,Hamburg,2,0,1011
D1,2013/11/10,FC Koln,M'gladbach,0,4,1011
D1,2013/11/10,Kaiserslautern,Stuttgart,3,3,1011
D1,2013/11/10,Mainz,Hannover,0,1,1011
D1,2013/11/10,St Pauli,Leverkusen,0,1,1011
D1,2013/11/10,Werder Bremen,Ein Frankfurt,0,0,1011
D1,2013/11/10,Wolfsburg,Schalke 04,2,2,1011
D1,2014/11/10,Bayern Munich,Nurnberg,3,0,1011
D1,2014/11/10,Hoffenheim,Freiburg,0,1,1011
D1,2020/11/10,Ein Frankfurt,Hoffenheim,0,4,1011
D1,2020/11/10,Freiburg,Dortmund,1,2,1011
D1,2020/11/10,Hannover,Hamburg,3,2,1011
D1,2020/11/10,Leverkusen,Bayern Munich,1,1,1011
D1,2020/11/10,M'gladbach,Mainz,2,3,1011
D1,2020/11/10,Nurnberg,Kaiserslautern,1,3,1011
D1,2020/11/10,Schalke 04,Werder Bremen,4,0,1011
D1,2021/11/10,St Pauli,Wolfsburg,1,1,1011
D1,2021/11/10,Stuttgart,FC Koln,0,1,1011
D1,2026/11/10,Mainz,Nurnberg,3,0,1011
D1,2027/11/10,Bayern Munich,Ein Frankfurt,4,1,1011
D1,2027/11/10,Dortmund,M'gladbach,4,1,1011
D1,2027/11/10,Hamburg,Stuttgart,4,2,1011
D1,2027/11/10,Hannover,Freiburg,3,0,1011
D1,2027/11/10,Hoffenheim,Leverkusen,2,2,1011
D1,2027/11/10,Kaiserslautern,Schalke 04,5,0,1011
D1,2028/11/10,FC Koln,Wolfsburg,1,1,1011
D1,2028/11/10,Werder Bremen,St Pauli,3,0,1011
D1,2003/12/10,St Pauli,Kaiserslautern,1,0,1011
D1,2004/12/10,Ein Frankfurt,Mainz,2,1,1011
D1,2004/12/10,Freiburg,Hamburg,1,0,1011
D1,2004/12/10,M'gladbach,Hannover,1,2,1011
D1,2004/12/10,Schalke 04,Bayern Munich,2,0,1011
D1,2004/12/10,Stuttgart,Hoffenheim,1,1,1011
D1,2004/12/10,Wolfsburg,Werder Bremen,0,0,1011
D1,2005/12/10,Leverkusen,FC Koln,3,2,1011
D1,2005/12/10,Nurnberg,Dortmund,0,2,1011
D1,2010/12/10,Hannover,Stuttgart,2,1,1011
D1,2011/12/10,Bayern Munich,St Pauli,3,0,1011
D1,2011/12/10,Dortmund,Werder Bremen,2,0,1011
D1,2011/12/10,FC Koln,Ein Frankfurt,1,0,1011
D1,2011/12/10,Hamburg,Leverkusen,2,4,1011
D1,2011/12/10,Hoffenheim,Nurnberg,1,1,1011
D1,2011/12/10,Kaiserslautern,Wolfsburg,0,0,1011
D1,2012/12/10,Freiburg,M'gladbach,3,0,1011
D1,2012/12/10,Mainz,Schalke 04,0,1,1011
