Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
I1,2028/8/10,Roma,Cesena,0,0,1011
I1,2028/8/10,Udinese,Genoa,0,1,1011
I1,2029/8/10,Bari,Juventus,1,0,1011
I1,2029/8/10,Chievo,Catania,2,1,1011
I1,2029/8/10,Fiorentina,Napoli,1,1,1011
I1,2029/8/10,Milan,Lecce,4,0,1011
I1,2029/8/10,Palermo,Cagliari,0,0,1011
I1,2029/8/10,Parma,Brescia,2,0,1011
I1,2029/8/10,Sampdoria,Lazio,2,0,1011
I1,1930/8/10,Bologna,Inter,0,0,1011
I1,2011/9/10,Cagliari,Roma,5,1,1011
I1,2011/9/10,Cesena,Milan,2,0,1011
I1,2011/9/10,Inter,Udinese,2,1,1011
I1,2012/9/10,Brescia,Palermo,3,2,1011
I1,2012/9/10,Catania,Parma,2,1,1011
I1,2012/9/10,Genoa,Chievo,1,3,1011
I1,2012/9/10,Juventus,Sampdoria,3,3,1011
I1,2012/9/10,Lazio,Bologna,3,1,1011
I1,2012/9/10,Lecce,Fiorentina,1,0,1011
I1,2012/9/10,Napoli,Bari,2,2,1011
I1,2018/9/10,Fiorentina,Lazio,1,2,1011
I1,2018/9/10,Milan,Catania,1,1,1011
I1,2019/9/10,Bari,Cagliari,0,0,1011
I1,2019/9/10,Cesena,Lecce,1,0,1011
I1,2019/9/10,Chievo,Brescia,0,1,1011
I1,2019/9/10,Palermo,Inter,1,2,1011
I1,2019/9/10,Parma,Genoa,1,1,1011
I1,2019/9/10,Roma,Bologna,2,2,1011
I1,2019/9/10,Sampdoria,Napoli,1,2,1011
I1,2019/9/10,Udinese,Juventus,0,4,1011
I1,2022/9/10,Bologna,Udinese,2,1,1011
I1,2022/9/10,Brescia,Roma,2,1,1011
I1,2022/9/10,Cagliari,Sampdoria,0,0,1011
I1,2022/9/10,Catania,Cesena,2,0,1011
I1,2022/9/10,Genoa,Fiorentina,1,1,1011
I1,2022/9/10,Inter,Bari,4,0,1011
I1,2022/9/10,Lazio,Milan,1,1,1011
I1,2022/9/10,Lecce,Parma,1,1,1011
I1,2022/9/10,Napoli,Chievo,1,3,1011
I1,2023/9/10,Juventus,Palermo,1,3,1011
I1,2025/9/10,Milan,Genoa,1,0,1011
I1,2025/9/10,Roma,Inter,1,0,1011
I1,2026/9/10,Bari,Brescia,2,1,1011
I1,2026/9/10,Catania,Bologna,1,1,1011
I1,2026/9/10,Cesena,Napoli,1,4,1011
I1,2026/9/10,Chievo,Lazio,0,1,1011
I1,2026/9/10,Fiorentina,Parma,2,0,1011
I1,2026/9/10,Juventus,Cagliari,4,2,1011
I1,2026/9/10,Palermo,Lecce,2,2,1011
I1,2026/9/10,Sampdoria,Udinese,0,0,1011
I1,2002/10/10,Parma,Milan,0,1,1011
I1,2002/10/10,Udinese,Cesena,1,0,1011
I1,2003/10/10,Bologna,Sampdoria,1,1,1011
I1,2003/10/10,Chievo,Cagliari,0,0,1011
I1,2003/10/10,Fiorentina,Palermo,1,2,1011
I1,2003/10/10,Genoa,Bari,2,1,1011
I1,2003/10/10,Inter,Juventus,0,0,1011
I1,2003/10/10,Lazio,Brescia,1,0,1011
I1,2003/10/10,Lecce,Catania,1,0,1011
I1,2003/10/10,Napoli,Roma,2,0,1011
I1,2016/10/10,Milan,Chievo,3,1,1011
I1,2016/10/10,Roma,Genoa,2,1,1011
I1,2017/10/10,Bari,Lazio,0,2,1011
I1,2017/10/10,Brescia,Udinese,0,1,1011
