ID,Crossing,Balance,Aggression,Composure,Ballcontrol,Acceleration,Agility,Overall
20801,85,63,63,95,93,89,89,94
158023,77,95,48,96,95,92,90,93
190871,75,82,56,92,95,94,96,92
176580,77,60,78,83,91,88,86,92
167495,15,35,29,70,48,58,52,92
188545,62,80,80,87,89,79,78,91
193080,17,43,38,64,42,57,60,90
183277,80,91,54,87,92,93,93,90
182521,85,69,60,85,89,60,71,90
167664,68,69,50,86,85,78,75,90
155862,66,60,84,80,84,75,79,90
192985,90,75,68,84,87,76,80,89
192119,14,45,23,52,23,46,61,89
184941,80,87,80,86,87,88,90,89
177003,78,94,62,84,92,75,93,89
173731,87,65,65,85,87,93,77,89
153079,70,91,63,90,89,90,86,89
138956,58,64,92,82,57,68,59,89
1179,13,49,38,70,28,49,55,89
211110,80,85,48,84,93,88,91,88
200389,13,49,34,55,16,43,67,88
194765,82,80,69,86,86,87,90,88
189509,72,86,57,83,92,77,90,88
188567,77,70,43,84,82,95,77,88
184344,44,52,82,84,75,62,60,88
183907,69,53,82,86,71,72,58,88
182493,55,58,86,82,76,62,63,88
178603,64,58,66,91,77,62,64,88
176635,82,70,48,78,90,75,83,88
167948,13,54,31,61,34,65,55,88
164240,60,68,77,83,80,70,74,88
41236,76,41,84,91,88,63,81,88
9014,80,91,47,86,89,87,89,88
215914,67,90,90,84,79,82,83,87
199556,72,94,89,91,88,69,87,87
195864,78,61,75,85,89,72,76,87
190460,86,82,44,87,87,77,78,87
181872,76,77,93,86,83,76,75,87
179813,70,59,84,83,80,75,81,87
176676,90,82,84,85,88,77,77,87
171877,78,66,56,84,87,72,76,87
168651,81,66,67,81,87,67,72,87
168542,83,89,51,92,90,72,92,87
162835,12,36,25,62,24,54,42,87
152729,57,42,72,86,78,55,58,87
41,77,84,58,89,94,72,79,87
202126,70,62,74,84,82,68,73,86
198710,88,75,65,87,85,77,82,86
197781,72,85,58,86,91,74,83,86
197445,82,77,69,79,83,86,79,86
192505,68,47,72,84,75,76,62,86
191043,86,79,82,82,81,84,79,86
189596,77,72,57,83,82,76,76,86
189511,62,55,85,88,80,48,58,86
189242,77,92,55,85,88,88,92,86
188350,80,81,49,83,85,86,86,86
184087,64,50,81,81,70,62,60,86
179944,68,56,86,78,79,68,72,86
179844,65,52,93,84,83,74,58,86
178518,73,84,88,85,85,80,81,86
177610,60,58,91,83,71,49,54,86
175943,77,92,59,81,88,93,94,86
172879,47,68,91,82,58,71,62,86
168609,48,57,83,84,72,67,61,86
165153,75,60,65,82,86,77,77,86
162895,85,77,45,92,86,65,65,86
156616,81,91,52,86,90,85,88,86
120533,46,49,94,77,62,65,63,86
48940,19,34,17,70,22,40,49,86
208418,80,71,61,75,86,87,91,85
201535,36,47,77,82,77,77,58,85
200145,52,57,87,86,78,63,66,85
198219,83,93,34,78,90,94,96,85
193301,64,84,70,86,84,84,87,85
193041,11,61,32,49,19,54,60,85
192883,79,85,69,79,87,88,89,85
192593,11,37,31,65,19,51,42,85
192563,9,44,28,62,22,46,52,85
192448,15,43,43,62,18,38,37,85
190547,29,55,86,79,59,53,34,85
189332,82,86,75,75,83,93,90,85
186942,74,81,68,86,88,73,83,85
184432,78,73,80,78,79,78,75,85
183898,85,79,73,82,85,86,92,85
180206,80,79,68,84,89,74,79,85
173210,76,79,78,84,85,78,81,85
172871,68,55,83,81,74,68,62,85
170890,75,79,85,82,77,79,76,85
167628,11,55,31,57,15,45,51,85
164169,84,60,81,88,81,75,74,85
139720,61,42,87,81,68,61,60,85
137186,40,64,70,82,65,64,51,85
225508,51,63,87,74,68,75,63,84
220834,79,76,45,82,86,79,78,84
218667,79,86,58,84,89,85,88,84
212218,58,55,72,74,71,68,49,84
211117,68,62,84,86,85,77,74,84
208722,72,85,73,78,84,94,89,84
204963,83,79,81,74,83,76,82,84
202166,83,75,48,81,87,76,81,84
201399,46,76,55,82,77,75,74,84
201153,73,56,54,79,84,78,62,84
201024,30,40,87,78,59,69,50,84
200316,19,31,41,20,22,45,50,84
193747,84,78,71,75,86,72,77,84
192774,27,60,86,75,65,78,68,84
192227,50,69,79,74,70,64,66,84
191740,74,82,86,84,86,76,84,84
189712,74,68,86,85,85,65,65,84
189505,78,82,56,78,87,84,84,84
189117,15,52,35,58,23,44,51,84
184120,60,59,79,86,83,42,53,84
181458,84,67,59,80,83,81,78,84
180930,63,36,51,79,80,67,57,84
180403,77,81,44,79,86,91,89,84
179846,72,52,82,84,81,60,59,84
179783,14,36,36,61,24,38,39,84
178750,24,58,20,39,14,59,62,84
178088,84,89,52,85,87,71,85,84
177509,45,51,82,78,65,72,59,84
177388,86,81,57,86,90,79,79,84
167397,55,75,75,87,82,73,85,84
165229,52,62,88,75,67,74,68,84
164468,28,51,84,75,63,62,62,84
146530,86,87,78,82,86,79,85,84
143076,82,94,56,84,87,94,92,84
106231,54,57,82,87,80,69,53,84
231747,70,76,62,80,87,89,78,83
231443,77,85,54,73,85,93,90,83
220971,62,90,77,79,88,82,90,83
216460,47,50,89,73,56,68,57,83
215316,12,50,26,30,15,54,58,83
213565,82,84,63,79,86,86,85,83
212814,77,70,61,85,85,71,81,83
212190,30,32,81,72,63,51,33,83
210257,20,40,35,58,30,64,60,83
209499,79,69,83,80,80,73,71,83
209331,73,84,63,75,87,93,86,83
208596,42,75,83,78,78,80,79,83
208448,86,83,62,79,85,78,85,83
207865,72,68,80,79,76,69,66,83
207566,66,50,75,89,78,52,45,83
205600,69,66,80,74,75,72,68,83
204485,81,85,40,82,88,85,92,83
203376,53,51,78,82,73,69,57,83
201942,72,81,66,78,85,77,82,83
200888,50,60,88,84,77,67,58,83
199715,80,63,61,70,85,81,75,83
199482,19,62,35,55,21,60,65,83
198176,49,60,74,82,71,68,61,83
198009,11,30,25,58,23,57,70,83
197061,54,49,81,75,71,60,58,83
193474,60,82,84,80,79,78,75,83
192629,67,77,63,73,84,84,88,83
192366,52,62,90,84,64,62,69,83
191202,68,53,83,84,78,62,56,83
191180,77,58,65,79,87,69,79,83
189513,84,72,58,74,83,55,69,83
189358,60,88,30,81,85,76,92,83
189125,82,77,68,82,85,78,81,83
189068,38,35,72,78,73,54,38,83
188377,78,72,78,75,76,86,70,83
188152,70,80,31,83,84,75,86,83
187936,59,31,87,85,82,52,43,83
186547,55,59,81,76,73,72,72,83
185239,49,61,73,78,72,72,64,83
185020,77,81,54,79,84,90,85,83
184826,78,67,79,82,85,64,73,83
184431,73,93,75,88,87,88,92,83
184144,82,81,57,80,84,84,87,83
181783,72,53,88,80,77,68,67,83
180819,74,76,74,80,86,74,83,83
179784,58,61,79,82,68,62,63,83
178562,80,86,69,82,85,71,84,83
178005,12,54,39,53,23,53,61,83
177683,13,58,38,57,25,48,55,83
177358,65,71,83,83,84,67,73,83
176769,70,69,61,87,88,66,77,83
176600,70,77,66,85,80,88,82,83
173771,86,66,83,82,76,73,66,83
170481,62,38,74,79,73,39,57,83
167905,85,83,83,82,81,88,75,83
163587,18,47,33,52,40,62,62,83
162240,65,74,74,89,86,75,82,83
161956,78,82,52,80,88,73,80,83
159147,69,72,81,80,74,67,64,83
158963,74,78,83,80,85,70,76,83
146760,83,62,78,74,79,76,75,83
146748,11,47,36,62,23,34,48,83
146562,85,91,64,88,87,68,79,83
142754,63,78,88,86,80,67,72,83
139869,86,85,55,83,85,70,77,83
139068,82,77,62,79,86,84,92,83
53302,57,72,84,84,78,69,68,83
24630,11,60,32,60,23,50,50,83
20775,88,84,62,79,87,85,91,83
20289,67,56,78,83,82,61,58,83
5479,13,46,23,70,23,59,62,83
230621,12,38,30,68,28,46,64,82
222492,76,82,58,76,84,93,89,82
219809,54,62,85,74,78,75,66,82
219683,67,73,81,74,80,79,77,82
217699,58,55,86,79,75,66,64,82
216594,73,91,69,85,86,79,84,82
216451,72,86,73,83,84,84,83,82
215785,75,77,54,79,89,93,82,82
213331,35,39,70,70,64,64,48,82
212404,77,79,52,83,87,84,85,82
212188,69,76,63,70,82,92,79,82
211575,61,64,81,78,80,71,67,82
211300,73,82,59,79,84,92,85,82
209658,73,72,84,78,82,83,76,82
208808,75,78,60,78,82,86,87,82
208618,85,78,65,72,83,83,82,82
208421,69,68,66,80,84,72,76,82
207863,45,57,84,74,64,65,63,82
207664,60,77,62,80,81,76,76,82
207471,73,48,80,85,89,62,71,82
207410,73,70,71,72,87,85,77,82
206652,17,43,27,29,12,50,62,82
206545,69,71,68,73,84,73,78,82
205452,68,50,89,73,68,73,63,82
204970,82,71,56,80,83,88,81,82
204639,35,54,83,75,66,60,60,82
204525,51,64,86,72,70,70,67,82
204277,67,89,92,79,82,76,77,82
203551,77,84,79,79,84,86,87,82
203483,63,64,76,80,81,73,67,82
202857,76,78,59,77,82,91,86,82
202652,73,92,34,74,84,94,91,82
202651,81,86,23,76,89,84,86,82
202477,76,79,40,76,87,93,93,82
202335,67,40,90,77,70,70,56,82
201862,75,64,92,74,68,70,72,82
200949,75,87,67,79,82,95,94,82
200104,75,77,60,78,82,87,79,82
199845,25,35,73,83,67,65,33,82
199503,66,61,92,74,80,48,53,82
198164,75,84,56,80,83,86,89,82
197965,77,84,68,85,82,83,87,82
195093,54,50,65,73,80,65,60,82
193698,14,43,32,52,17,47,45,82
193532,55,92,89,78,74,74,78,82
193469,54,58,82,72,71,54,56,82
193348,74,92,64,79,83,87,88,82
193082,78,83,70,76,83,90,91,82
192387,55,63,77,81,79,77,77,82
190483,76,90,55,73,83,96,91,82
190456,79,76,76,75,76,82,83,82
189560,53,36,78,73,80,49,54,82
188943,13,37,30,48,24,45,42,82
188942,63,66,90,76,76,60,71,82
188803,73,83,56,74,85,93,89,82
187754,76,84,58,84,88,85,92,82
187072,76,78,74,83,83,74,71,82
186627,68,50,70,79,85,77,70,82
186561,75,75,73,81,82,67,76,82
186153,12,51,40,65,22,51,55,82
184484,86,61,57,81,84,65,72,82
184267,77,87,46,86,85,86,93,82
184200,83,57,81,77,85,76,72,82
183711,81,71,80,78,80,73,73,82
183574,81,76,63,86,86,74,75,82
183497,19,49,18,22,23,44,45,82
183376,50,56,91,75,71,52,56,82
182494,15,62,32,63,23,60,68,82
181786,68,46,81,78,73,49,57,82
181291,67,80,64,79,84,79,82,82
179847,44,32,84,83,72,31,29,82
178509,64,52,76,78,82,51,59,82
178372,72,47,86,81,66,63,57,82
178224,62,83,59,81,79,84,81,82
177600,81,74,79,73,80,65,71,82
177457,69,63,78,83,75,66,65,82
177413,69,60,78,86,85,67,82,82
174543,12,64,40,60,41,58,64,82
172723,14,41,42,62,24,52,53,82
171919,45,36,71,84,68,67,50,82
171833,62,64,60,81,81,74,75,82
169595,81,76,87,73,76,80,73,82
169416,80,79,57,79,81,87,86,82
168354,12,32,18,64,22,30,35,82
167431,82,83,64,83,82,73,83,82
165239,79,90,33,82,85,78,85,82
163824,32,59,83,73,66,62,58,82
163705,14,36,37,63,17,53,52,82
163631,86,84,74,81,80,73,74,82
163489,10,40,11,50,23,48,57,82
162347,77,84,74,86,82,73,79,82
158121,11,45,22,53,12,49,38,82
157481,38,56,79,73,67,57,53,82
150724,14,32,28,68,20,59,50,82
150418,62,53,72,85,75,68,63,82
144622,73,83,66,79,87,77,84,82
143745,82,76,80,83,86,75,82,82
135507,68,79,86,73,78,73,77,82
113422,71,75,67,83,85,72,75,82
108080,82,79,82,80,75,76,77,82
104389,18,45,34,55,23,40,35,82
230666,66,92,56,84,85,89,93,81
227928,75,83,77,75,78,91,88,81
