Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
E0,2014/8/10,Aston Villa,West Ham,3,0,1011
E0,2014/8/10,Blackburn,Everton,1,0,1011
E0,2014/8/10,Bolton,Fulham,0,0,1011
E0,2014/8/10,Chelsea,West Brom,6,0,1011
E0,2014/8/10,Sunderland,Birmingham,2,2,1011
E0,2014/8/10,Tottenham,Man City,0,0,1011
E0,2014/8/10,Wigan,Blackpool,0,4,1011
E0,2014/8/10,Wolves,Stoke,2,1,1011
E0,2015/8/10,Liverpool,Arsenal,1,1,1011
E0,2016/8/10,Man United,Newcastle,3,0,1011
E0,2021/8/10,Arsenal,Blackpool,6,0,1011
E0,2021/8/10,Birmingham,Blackburn,2,1,1011
E0,2021/8/10,Everton,Wolves,1,1,1011
E0,2021/8/10,Stoke,Tottenham,1,2,1011
E0,2021/8/10,West Brom,Sunderland,1,0,1011
E0,2021/8/10,West Ham,Bolton,1,3,1011
E0,2021/8/10,Wigan,Chelsea,0,6,1011
E0,2022/8/10,Fulham,Man United,2,2,1011
E0,2022/8/10,Newcastle,Aston Villa,6,0,1011
E0,2023/8/10,Man City,Liverpool,3,0,1011
E0,2028/8/10,Blackburn,Arsenal,1,2,1011
E0,2028/8/10,Blackpool,Fulham,2,2,1011
E0,2028/8/10,Chelsea,Stoke,2,0,1011
E0,2028/8/10,Man United,West Ham,3,0,1011
E0,2028/8/10,Tottenham,Wigan,0,1,1011
E0,2028/8/10,Wolves,Newcastle,1,1,1011
E0,2029/8/10,Aston Villa,Everton,1,0,1011
E0,2029/8/10,Bolton,Birmingham,2,2,1011
E0,2029/8/10,Liverpool,West Brom,1,0,1011
E0,2029/8/10,Sunderland,Man City,1,0,1011
E0,2011/9/10,Arsenal,Bolton,4,1,1011
E0,2011/9/10,Everton,Man United,3,3,1011
E0,2011/9/10,Fulham,Wolves,2,1,1011
E0,2011/9/10,Man City,Blackburn,1,1,1011
E0,2011/9/10,Newcastle,Blackpool,0,2,1011
E0,2011/9/10,West Brom,Tottenham,1,1,1011
E0,2011/9/10,West Ham,Chelsea,1,3,1011
E0,2011/9/10,Wigan,Sunderland,1,1,1011
E0,2012/9/10,Birmingham,Liverpool,0,0,1011
E0,2013/9/10,Stoke,Aston Villa,2,1,1011
E0,2018/9/10,Aston Villa,Bolton,1,1,1011
E0,2018/9/10,Blackburn,Fulham,1,1,1011
E0,2018/9/10,Everton,Newcastle,0,1,1011
E0,2018/9/10,Stoke,West Ham,1,1,1011
E0,2018/9/10,Sunderland,Arsenal,1,1,1011
E0,2018/9/10,Tottenham,Wolves,3,1,1011
E0,2018/9/10,West Brom,Birmingham,3,1,1011
E0,2019/9/10,Chelsea,Blackpool,4,0,1011
E0,2019/9/10,Man United,Liverpool,3,2,1011
E0,2019/9/10,Wigan,Man City,0,2,1011
