ID,Nationality,Club,Age,Value,Wage,Name,Special
20801,Portugal,Real Madrid CF,32,95.5M,565K,Cristiano Ronaldo,2228
158023,Argentina,FC Barcelona,30,105M,565K,L. Messi,2154
190871,Brazil,Paris Saint-Germain,25,123M,280K,Neymar,2100
176580,Uruguay,FC Barcelona,30,97M,510K,L. Suárez,2291
167495,Germany,FC Bayern Munich,31,61M,230K,M. Neuer,1493
188545,Poland,FC Bayern Munich,28,92M,355K,R. Lewandowski,2143
193080,Spain,Manchester United,26,64.5M,215K,De Gea,1458
183277,Belgium,Chelsea,26,90.5M,295K,E. Hazard,2096
182521,Germany,Real Madrid CF,27,79M,340K,T. Kroos,2165
167664,Argentina,Juventus,29,77M,275K,G. Higuaín,1961
155862,Spain,Real Madrid CF,31,52M,310K,Sergio Ramos,2153
192985,Belgium,Manchester City,26,83M,285K,K. De Bruyne,2162
192119,Belgium,Chelsea,25,59M,190K,T. Courtois,1282
184941,Chile,Arsenal,28,67.5M,265K,A. Sánchez,2181
177003,Croatia,Real Madrid CF,31,57M,340K,L. Modrić,2228
173731,Wales,Real Madrid CF,27,69.5M,370K,G. Bale,2263
153079,Argentina,Manchester City,29,66.5M,325K,S. Agüero,2074
138956,Italy,Juventus,32,38M,225K,G. Chiellini,1867
1179,Italy,Juventus,39,4.5M,110K,G. Buffon,1335
211110,Argentina,Juventus,23,79M,215K,P. Dybala,2063
200389,Slovenia,Atlético Madrid,24,57M,82K,J. Oblak,1290
194765,France,Atlético Madrid,26,75M,150K,A. Griezmann,2104
189509,Spain,FC Bayern Munich,26,70.5M,225K,Thiago,2185
188567,Gabon,Borussia Dortmund,28,61M,165K,P. Aubameyang,2078
184344,Italy,Milan,30,44M,210K,L. Bonucci,1995
183907,Germany,FC Bayern Munich,28,48M,215K,J. Boateng,1989
182493,Uruguay,Atlético Madrid,31,40M,125K,D. Godín,1930
178603,Germany,FC Bayern Munich,28,48M,215K,M. Hummels,2038
176635,Germany,Arsenal,28,60M,265K,M. Özil,1927
167948,France,Tottenham Hotspur,30,38M,165K,H. Lloris,1318
164240,Brazil,Paris Saint-Germain,32,34M,175K,Thiago Silva,2124
41236,Sweden,Manchester United,35,27M,240K,Z. Ibrahimović,2075
9014,Netherlands,FC Bayern Munich,33,36M,225K,A. Robben,2081
215914,France,Chelsea,26,52.5M,190K,N. Kanté,2154
199556,Italy,Paris Saint-Germain,24,64.5M,130K,M. Verratti,2154
195864,France,Manchester United,24,66.5M,195K,P. Pogba,2238
190460,Denmark,Tottenham Hotspur,25,65M,165K,C. Eriksen,2064
181872,Chile,FC Bayern Munich,30,37.5M,160K,A. Vidal,2278
179813,Uruguay,Paris Saint-Germain,30,48.5M,160K,E. Cavani,2097
176676,Brazil,Real Madrid CF,29,38M,250K,Marcelo,2209
171877,Slovakia,Napoli,29,48.5M,130K,M. Hamšík,2184
168651,Croatia,FC Barcelona,29,48.5M,275K,I. Rakitić,2129
168542,Spain,Manchester City,31,44M,220K,David Silva,1977
162835,Slovenia,Inter,32,29M,91K,S. Handanovič,1264
152729,Spain,FC Barcelona,30,37.5M,240K,Piqué,1974
