,premier,home,away,time
0,English Premier League,Newcastle United,Wolverhampton Wanderers,2018-12-09 11:00
1,Spanish Primera División,Eibar,Levante,2018-12-09 06:00
2,Spanish Primera División,Huesca,Real Madrid,2018-12-09 10:15
3,Spanish Primera División,Real Sociedad,Real Valladolid,2018-12-09 12:30
4,Spanish Primera División,Real Betis,Rayo Vallecano,2018-12-09 14:45
5,Italian Serie A,Sassuolo,Fiorentina,2018-12-09 06:30
6,Italian Serie A,Empoli,Bologna,2018-12-09 09:00
7,Italian Serie A,Parma,Chievo Verona,2018-12-09 09:00
8,Italian Serie A,Udinese,Atalanta,2018-12-09 09:00
9,Italian Serie A,Genoa,SPAL,2018-12-09 12:00
10,Italian Serie A,AC Milan,Torino,2018-12-09 14:30
11,Mexican Liga BBVA Bancomer,América,Pumas UNAM,2018-12-09 19:45
12,German Bundesliga,Mainz,Hannover 96,2018-12-09 09:30
13,German Bundesliga,Borussia Monchengladbach,VfB Stuttgart,2018-12-09 12:00
14,French Ligue 1,Strasbourg,Caen,2018-12-09 09:00
15,French Ligue 1,Lille,Stade de Reims,2018-12-09 11:00
16,CONMEBOL Copa Libertadores,River Plate,Boca Juniors,2018-12-09 14:30
17,Dutch Eredivisie,FC Utrecht,SC Heracles Almelo,2018-12-09 06:15
18,Dutch Eredivisie,FC Emmen VV,Feyenoord Rotterdam,2018-12-09 08:30
19,Dutch Eredivisie,VVV Venlo,FC Groningen,2018-12-09 08:30
20,Dutch Eredivisie,NAC Breda,Vitesse Arnhem,2018-12-09 10:45
21,Portuguese Liga,CD Nacional de Madeira,Boavista,2018-12-09 10:00
22,Portuguese Liga,Moreirense,Santa Clara,2018-12-09 10:00
23,Portuguese Liga,Guimaraes,Rio Ave,2018-12-09 12:30
24,Portuguese Liga,Sporting CP,Desportivo Aves,2018-12-09 15:00
25,Russian Premier League,Dinamo Moscow,Ural Sverdlovsk Oblast,2018-12-09 06:00
26,Russian Premier League,Krasnodar,FC Ufa,2018-12-09 08:30
27,Russian Premier League,Zenit St Petersburg,FK Rubin Kazan,2018-12-09 11:00
28,Scottish Premiership,Dundee,Rangers,2018-12-09 08:30
29,Turkish Super Lig,Erzurum BB,Yeni Malatyaspor,2018-12-09 05:30
30,Turkish Super Lig,Bursaspor,Antalyaspor,2018-12-09 08:00
31,Turkish Super Lig,Akhisar Belediyespor,Fenerbahce,2018-12-09 11:00
32,Belgian First Division A,Cercle Brugge KSV,Antwerp,2018-12-09 08:30
33,Belgian First Division A,Anderlecht,Royal Charleroi SC,2018-12-09 12:00
34,Belgian First Division A,KAA Gent,Eupen,2018-12-09 14:00
35,Greek Super League,FC Xanthi,Olympiakos,2018-12-09 08:30
36,Greek Super League,OFI Crete,Panathinaikos,2018-12-09 10:15
37,Greek Super League,Atromitos,Aris,2018-12-09 12:00
38,Greek Super League,PAOK Salonika,Larissa FC,2018-12-09 12:30
39,Swiss Super League,FC Basel,FC Zürich,2018-12-09 10:00
40,Swiss Super League,FC Lugano,FC Sion,2018-12-09 10:00
41,Swiss Super League,Grasshoppers,Lucerne,2018-12-09 10:00
42,Danish SAS-Ligaen,Vendsyssel,Randers FC,2018-12-09 06:00
43,Danish SAS-Ligaen,AaB,AC Horsens,2018-12-09 08:00
44,Danish SAS-Ligaen,FC Copenhagen,Esbjerg FB,2018-12-09 10:00
45,Danish SAS-Ligaen,Vejle BK,Brøndby,2018-12-09 12:00
46,Austrian Bundesliga,SV Mattersburg,Austria Vienna,2018-12-09 08:30
47,Austrian Bundesliga,TSV Hartberg,FC Wacker Innsbruck,2018-12-09 08:30
48,Austrian Bundesliga,Rapid Vienna,SK Sturm Graz,2018-12-09 11:00
49,Australian A-League,Newcastle Jets,Brisbane Roar,2018-12-09 01:00
50,Norwegian Eliteserien,Aalesund,Stabaek,2018-12-09 12:00
51,Israeli Premier League,Hapoel Ra'anana,Hapoel Haifa,2018-12-09 12:00
52,Israeli Premier League,Maccabi Netanya,Hapoel Hadera,2018-12-09 13:15
53,Romanian First Division,CSMS Iasi,Dunarea Calarasi,2018-12-09 07:00
54,Romanian First Division,FK Astra Giurgiu,Concordia Chiajna,2018-12-09 10:00
55,Romanian First Division,FCSB,Viitorul Constanta,2018-12-09 13:00
56,Argentine Superliga,Argentinos Juniors,Aldosivi,2018-12-09 17:20
57,Argentine Superliga,Gimnasia La Plata,Huracán,2018-12-09 17:20
58,Argentine Superliga,Racing Club,San Martín de San Juan,2018-12-09 19:30
59,Argentine Nacional B,Gimnasia y Esgrima de Jujuy,Brown de Adrogué,2018-12-09 15:00
60,Argentine Nacional B,Gimnasia (M),Atletico Rafaela,2018-12-09 16:00
61,Argentine Nacional B,Instituto de Córdoba,Quilmes,2018-12-09 18:00
62,Argentine Primera C,Deportivo Armenio,Victoriano Arenas,2018-12-09 15:00
63,Spanish Segunda División,AD Alcorcon,Reus Deportiu,2018-12-09 06:00
64,Spanish Segunda División,Cádiz,Rayo Majadahonda,2018-12-09 10:00
65,Spanish Segunda División,Elche,Sporting Gijón,2018-12-09 12:00
66,Spanish Segunda División,Lugo,Las Palmas,2018-12-09 14:00
67,Spanish Segunda División,Real Zaragoza,Cordoba,2018-12-09 14:30
68,Italian Serie B,Cremonese,Cittadella,2018-12-09 09:00
69,Italian Serie B,Livorno,Foggia,2018-12-09 09:00
70,Italian Serie B,Benevento,Hellas Verona,2018-12-09 15:00
71,German 2. Bundesliga,1. FC Magdeburg,FC Union Berlin,2018-12-09 07:30
72,German 2. Bundesliga,Arminia Bielefeld,SV Sandhausen,2018-12-09 07:30
73,German 2. Bundesliga,Dynamo Dresden,Holstein Kiel,2018-12-09 07:30
74,Bolivian Liga Profesional,Real Potosí,Royal Pari,2018-12-09 14:00
75,Bolivian Liga Profesional,San José,Oriente Petrolero,2018-12-09 16:15
76,Bolivian Liga Profesional,Destroyers,Bolívar,2018-12-09 18:30
77,Bolivian Liga Profesional,Guabirá,Aurora,2018-12-09 18:30
78,United States NCAA Men's Soccer,Maryland Terrapins,Akron Zips,2018-12-09 20:00
79,Maltese Premier League,Gzira United,Mosta FC,2018-12-09 08:00
80,Maltese Premier League,Hibernians,Senglea Athletic FC,2018-12-09 10:00
81,Costa Rican Primera Division,Alajuelense,Herediano,2018-12-09 12:00
82,Salvadoran Primera Division,Santa Tecla,Aguila,2018-12-09 17:30
83,Guatemalan Liga Nacional,Xelaju,Comunicaciones,2018-12-09 19:00
84,Indian Super League,Bengaluru FC,Mumbai City FC,2018-12-09 09:00
85,Honduran Primera Division,Olimpia,CD Motagua,2018-12-09 17:00
86,Indian I-League,Churchill Brothers,Aizawl FC,2018-12-09 06:30
87,Indonesian Super League,Arema Indonesia,Sriwijaya,2018-12-09 03:30
