Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
SP1,2028/8/10,Hercules,Ath Bilbao,0,1,1011
SP1,2028/8/10,Levante,Sevilla,1,4,1011
SP1,2028/8/10,Malaga,Valencia,1,3,1011
SP1,2029/8/10,Espanol,Getafe,3,1,1011
SP1,2029/8/10,La Coruna,Zaragoza,0,0,1011
SP1,2029/8/10,Mallorca,Real Madrid,0,0,1011
SP1,2029/8/10,Osasuna,Almeria,0,0,1011
SP1,2029/8/10,Santander,Barcelona,0,3,1011
SP1,2029/8/10,Sociedad,Villarreal,1,0,1011
SP1,1930/8/10,Ath Madrid,Sp Gijon,4,0,1011
SP1,2011/9/10,Ath Bilbao,Ath Madrid,1,2,1011
SP1,2011/9/10,Barcelona,Hercules,0,2,1011
SP1,2011/9/10,Real Madrid,Osasuna,1,0,1011
SP1,2011/9/10,Valencia,Santander,1,0,1011
SP1,2012/9/10,Getafe,Levante,4,1,1011
SP1,2012/9/10,Sevilla,La Coruna,0,0,1011
SP1,2012/9/10,Sp Gijon,Mallorca,2,0,1011
SP1,2012/9/10,Villarreal,Espanol,4,0,1011
SP1,2012/9/10,Zaragoza,Malaga,3,5,1011
SP1,2013/9/10,Almeria,Sociedad,2,2,1011
SP1,2018/9/10,Espanol,Almeria,1,0,1011
SP1,2018/9/10,Mallorca,Osasuna,2,0,1011
SP1,2018/9/10,Sociedad,Real Madrid,1,2,1011
SP1,2018/9/10,Sp Gijon,Ath Bilbao,2,2,1011
SP1,2019/9/10,Ath Madrid,Barcelona,1,2,1011
SP1,2019/9/10,Hercules,Valencia,1,2,1011
SP1,2019/9/10,Levante,Villarreal,1,2,1011
SP1,2019/9/10,Malaga,Sevilla,1,2,1011
SP1,2019/9/10,Santander,Zaragoza,2,0,1011
SP1,2020/9/10,La Coruna,Getafe,2,2,1011
SP1,2021/9/10,Ath Bilbao,Mallorca,3,0,1011
SP1,2021/9/10,Osasuna,Sociedad,3,1,1011
SP1,2021/9/10,Real Madrid,Espanol,3,0,1011
SP1,2022/9/10,Almeria,Levante,0,1,1011
SP1,2022/9/10,Barcelona,Sp Gijon,1,0,1011
SP1,2022/9/10,Valencia,Ath Madrid,1,1,1011
SP1,2022/9/10,Zaragoza,Hercules,0,0,1011
SP1,2023/9/10,Getafe,Malaga,0,2,1011
SP1,2023/9/10,Sevilla,Santander,1,1,1011
SP1,2023/9/10,Villarreal,La Coruna,1,0,1011
SP1,2025/9/10,Ath Bilbao,Barcelona,1,3,1011
SP1,2025/9/10,Levante,Real Madrid,0,0,1011
SP1,2025/9/10,Sp Gijon,Valencia,0,2,1011
SP1,2026/9/10,Ath Madrid,Zaragoza,1,0,1011
SP1,2026/9/10,Espanol,Osasuna,1,0,1011
SP1,2026/9/10,Hercules,Sevilla,2,0,1011
SP1,2026/9/10,La Coruna,Almeria,0,2,1011
SP1,2026/9/10,Mallorca,Sociedad,2,0,1011
SP1,2026/9/10,Santander,Getafe,0,1,1011
SP1,2027/9/10,Malaga,Villarreal,2,3,1011
SP1,2002/10/10,Sociedad,Espanol,1,0,1011
SP1,2002/10/10,Valencia,Ath Bilbao,2,1,1011
SP1,2002/10/10,Zaragoza,Sp Gijon,2,2,1011
SP1,2003/10/10,Almeria,Malaga,1,1,1011
SP1,2003/10/10,Barcelona,Mallorca,1,1,1011
SP1,2003/10/10,Getafe,Hercules,3,0,1011
SP1,2003/10/10,Osasuna,Levante,1,1,1011
SP1,2003/10/10,Real Madrid,La Coruna,6,1,1011
SP1,2003/10/10,Sevilla,Ath Madrid,3,1,1011
SP1,2003/10/10,Villarreal,Santander,2,0,1011
SP1,2016/10/10,Ath Madrid,Getafe,2,0,1011
SP1,2016/10/10,Barcelona,Valencia,2,1,1011
SP1,2016/10/10,Malaga,Real Madrid,1,4,1011
SP1,2017/10/10,Ath Bilbao,Zaragoza,2,1,1011
SP1,2017/10/10,La Coruna,Osasuna,0,0,1011
SP1,2017/10/10,Levante,Sociedad,2,1,1011
SP1,2017/10/10,Mallorca,Espanol,0,1,1011
SP1,2017/10/10,Santander,Almeria,1,0,1011
SP1,2017/10/10,Sp Gijon,Sevilla,2,0,1011
SP1,2018/10/10,Hercules,Villarreal,2,2,1011
SP1,2023/10/10,Real Madrid,Santander,6,1,1011
SP1,2023/10/10,Valencia,Mallorca,1,2,1011
SP1,2023/10/10,Zaragoza,Barcelona,0,2,1011
SP1,2024/10/10,Almeria,Hercules,1,1,1011
SP1,2024/10/10,Espanol,Levante,2,1,1011
SP1,2024/10/10,Getafe,Sp Gijon,3,0,1011
SP1,2024/10/10,Osasuna,Malaga,3,0,1011
SP1,2024/10/10,Sevilla,Ath Bilbao,4,3,1011
SP1,2024/10/10,Villarreal,Ath Madrid,2,0,1011
SP1,2025/10/10,Sociedad,La Coruna,3,0,1011
SP1,1930/10/10,Barcelona,Sevilla,5,0,1011
SP1,1930/10/10,Hercules,Real Madrid,1,3,1011
SP1,1930/10/10,Valencia,Zaragoza,1,1,1011
SP1,1931/10/10,Ath Bilbao,Getafe,3,0,1011
SP1,1931/10/10,Ath Madrid,Almeria,1,1,1011
SP1,1931/10/10,La Coruna,Espanol,3,0,1011
SP1,1931/10/10,Malaga,Sociedad,1,2,1011
SP1,1931/10/10,Santander,Osasuna,4,1,1011
SP1,1931/10/10,Sp Gijon,Villarreal,1,1,1011
SP1,2001/11/10,Mallorca,Levante,2,1,1011
SP1,2006/11/10,Espanol,Malaga,1,0,1011
SP1,2006/11/10,Sociedad,Santander,1,0,1011
SP1,2007/11/10,Almeria,Sp Gijon,1,1,1011
SP1,2007/11/10,Getafe,Barcelona,1,3,1011
SP1,2007/11/10,Levante,La Coruna,1,2,1011
SP1,2007/11/10,Osasuna,Hercules,3,0,1011
SP1,2007/11/10,Real Madrid,Ath Madrid,2,0,1011
SP1,2007/11/10,Villarreal,Ath Bilbao,4,1,1011
SP1,2007/11/10,Zaragoza,Mallorca,3,2,1011
SP1,2008/11/10,Sevilla,Valencia,2,0,1011
SP1,2013/11/10,Ath Bilbao,Almeria,1,0,1011
SP1,2013/11/10,Ath Madrid,Osasuna,3,0,1011
SP1,2013/11/10,Barcelona,Villarreal,3,1,1011
SP1,2014/11/10,Hercules,Sociedad,2,1,1011
SP1,2014/11/10,Malaga,Levante,1,0,1011
SP1,2014/11/10,Mallorca,La Coruna,0,0,1011
SP1,2014/11/10,Santander,Espanol,0,0,1011
SP1,2014/11/10,Sp Gijon,Real Madrid,0,1,1011
SP1,2014/11/10,Valencia,Getafe,2,0,1011
SP1,2014/11/10,Zaragoza,Sevilla,1,2,1011
SP1,2020/11/10,Almeria,Barcelona,0,8,1011
SP1,2020/11/10,Real Madrid,Ath Bilbao,5,1,1011
SP1,2020/11/10,Villarreal,Valencia,1,1,1011
SP1,2021/11/10,Espanol,Hercules,3,0,1011
SP1,2021/11/10,La Coruna,Malaga,3,0,1011
SP1,2021/11/10,Levante,Santander,3,1,1011
SP1,2021/11/10,Osasuna,Sp Gijon,1,0,1011
SP1,2021/11/10,Sevilla,Mallorca,1,2,1011
SP1,2021/11/10,Sociedad,Ath Madrid,2,4,1011
SP1,2022/11/10,Getafe,Zaragoza,1,1,1011
SP1,2027/11/10,Ath Madrid,Espanol,2,3,1011
SP1,2027/11/10,Sevilla,Getafe,1,3,1011
SP1,2027/11/10,Zaragoza,Villarreal,0,3,1011
SP1,2028/11/10,Ath Bilbao,Osasuna,1,0,1011
SP1,2028/11/10,Hercules,Levante,3,1,1011
SP1,2028/11/10,Mallorca,Malaga,2,0,1011
SP1,2028/11/10,Santander,La Coruna,1,0,1011
SP1,2028/11/10,Sp Gijon,Sociedad,1,3,1011
SP1,2028/11/10,Valencia,Almeria,2,1,1011
SP1,2029/11/10,Barcelona,Real Madrid,5,0,1011
SP1,2004/12/10,Levante,Ath Madrid,2,0,1011
SP1,2004/12/10,Osasuna,Barcelona,0,3,1011
SP1,2004/12/10,Real Madrid,Valencia,2,0,1011
